123,7,130802346,1,2022-10-06 15:21:47
124,8,130802346,1,2022-10-06 15:24:46
125,6,220901457,1,2022-10-09 20:7:38
126,3,200031,1,2022-10-09 21:18:34
127,8,220500788,1,2022-10-10 13:30:39
128,8,220500788,1,2022-10-10 15:27:20
129,8,40600202,1,2022-10-11 22:22:12
130,9,40600202,1,2022-10-11 22:22:56
131,8,130802346,1,2022-10-12 13:34:13
132,8,130802346,1,2022-10-12 13:53:32
133,8,130802346,1,2022-10-13 9:51:1
134,9,130401639,1,2022-10-13 13:28:35
135,9,130401639,1,2022-10-13 13:42:33
136,6,130401639,1,2022-10-13 13:43:10
137,10,130802346,1,2022-10-13 14:56:23
138,9,130802346,1,2022-10-13 14:58:31
139,7,60100036,1,2022-10-14 15:39:14
140,3,130802346,1,2022-10-17 14:11:57
141,10,NK9512,1,2022-10-24 10:48:0
142,9,131002635,1,2022-10-25 12:0:2
143,10,80100071,1,2022-10-25 16:2:34
144,7,80100071,1,2022-10-25 16:25:1
145,10,220901419,1,2022-10-25 21:35:9
146,10,131002614,1,2022-10-26 10:20:4
147,10,130702276,1,2022-10-28 9:28:18
148,10,130702276,1,2022-10-28 9:30:29
149,9,130702276,1,2022-10-28 9:46:45
150,10,130702276,1,2022-10-28 9:46:50
151,6,130702276,1,2022-10-28 9:47:0
152,3,130702276,1,2022-10-28 10:5:9
153,10,80100071,1,2022-11-03 11:34:2
154,10,130602093,1,2022-11-05 10:29:52
155,6,130602093,1,2022-11-05 10:38:54
156,9,220200263,1,2022-11-05 10:43:25
157,5,200200156,1,2022-11-14 2:31:47
158,10,170400187,1,2022-11-15 13:19:14
159,3,170400187,1,2022-11-15 13:20:27
160,8,211001090,1,2022-11-15 15:9:56
161,8,201001083,1,2022-11-18 23:9:17
162,3,170900518,1,2022-11-19 8:40:54
163,10,30400453,1,2022-11-21 8:39:18
164,6,30400453,1,2022-11-21 9:47:5
165,6,211001010,1,2022-11-22 16:57:41
166,7,170300124,1,2022-11-23 10:46:3
167,10,170300124,1,2022-11-24 13:54:8
168,10,220100067,1,2022-11-25 9:53:55
169,10,220100067,1,2022-11-25 10:1:16
170,8,220100067,1,2022-11-25 13:15:14
171,6,220100067,1,2022-11-25 13:15:37
172,8,80400372,1,2022-11-25 13:15:48
173,8,220100067,1,2022-11-25 13:21:13
174,8,220100067,1,2022-11-25 14:25:53
175,3,NK9973,1,2022-12-01 11:22:53
176,9,80400372,1,2022-12-02 13:45:33
177,3,111001325,1,2022-12-03 9:22:6
178,10,80100071,1,2022-12-03 11:51:15
179,6,100400356,1,2022-12-05 20:9:27
180,5,100400356,1,2022-12-05 20:15:42
181,3,160200082,1,2022-12-07 9:54:35
182,10,170300124,1,2022-12-08 14:7:5
183,3,960900113,1,2022-12-08 20:58:27
184,10,31001008,1,2022-12-12 13:45:11
185,10,31001008,1,2022-12-12 13:45:28
186,6,130702276,1,2022-12-14 16:17:5
187,6,130702276,1,2022-12-14 16:17:10
188,10,160200082,1,2022-12-15 1:12:16
189,9,160200082,1,2022-12-15 1:13:11
190,9,160200082,1,2022-12-15 1:15:12
191,8,160200082,1,2022-12-15 1:16:25
192,6,20300606,1,2022-12-19 12:1:6
193,5,20300606,1,2022-12-19 12:6:41
194,5,20300606,1,2022-12-19 12:16:43
195,7,10100314,1,2022-12-19 21:30:51
196,7,10100314,1,2022-12-19 21:30:52
197,3,990400020,1,2022-12-23 8:22:53
198,3,990400020,1,2022-12-23 8:23:7
199,3,990400020,1,2022-12-23 8:24:18
200,6,130300968,1,2022-12-23 22:18:51
201,5,160400183,1,2022-12-26 8:41:42
202,3,10100229,1,2022-12-30 15:0:11
203,10,221101718,1,2023-01-03 9:5:6
204,10,221101718,1,2023-01-03 9:8:58
205,3,221101718,1,2023-01-03 9:12:35
206,3,221101718,1,2023-01-04 9:16:23
207,10,221101718,1,2023-01-04 9:46:36
208,3,80100071,1,2023-01-06 11:6:56
209,6,80100071,1,2023-01-06 15:26:14
210,8,80100071,1,2023-01-06 15:27:16
211,6,221101884,1,2023-01-10 22:20:21
212,10,170300124,1,2023-01-16 10:28:32
213,10,170300124,1,2023-01-16 10:31:32
214,10,170300124,1,2023-01-16 10:31:47
215,10,170300124,1,2023-01-16 10:33:42
216,10,170300124,1,2023-01-16 10:51:28
217,10,170300124,1,2023-01-16 10:57:16
218,10,170300124,1,2023-01-16 10:57:35
219,10,170300124,1,2023-01-16 11:2:12
220,10,170300124,1,2023-01-16 11:2:23
221,10,170300124,1,2023-01-16 11:5:58
222,10,170300124,1,2023-01-16 11:7:31
223,5,170400187,1,2023-01-21 8:10:59
224,5,170400187,1,2023-01-21 8:12:53
225,9,NK17,1,2023-01-21 10:54:6
226,10,60700566,1,2023-01-23 15:25:10
227,10,130200455,1,2023-01-24 9:2:31
228,9,130200455,1,2023-01-24 9:4:11
229,9,130200455,1,2023-01-24 9:6:12
230,9,160200082,1,2023-01-24 10:50:33
231,7,100400356,1,2023-01-24 18:53:40
232,7,100400356,1,2023-01-24 18:53:43
233,7,100400356,1,2023-01-24 18:53:43
234,10,10100182,1,2023-01-24 22:19:6
235,10,10100182,1,2023-01-24 22:19:6
236,10,221101896,1,2023-01-25 10:59:34
237,10,221101896,1,2023-01-25 11:1:49
238,10,20400794,1,2023-01-25 16:15:9
