35,Eps 23 Part 1 : PEKAN ASI SEDUNIA,eps23part1poster.png,Eps23part1.mp4,Eps23part1aud.mp3,ngobrolsantai,2022-08-03,2022-08-03 16:47:54
36,Eps 23 Part 2: PEKAN ASI SEDUNIA,postereps23part2.jpeg,PODTRETEps23Part2fix.mp4,PODTRETEps23Part2fixaud.mp3,ngobrolsantai,2022-08-05,2022-08-05 17:21:23
37,Eps 24 : Citayem Fashion Week,postereps24_new.jpeg,PODTRETEPS24CitayemFashionWeek.mp4,PODTRETEPS24CitayemFashionWeekaud.mp3,ngobrolsantai,2022-08-11,2022-08-11 11:33:56
38,Eps 25 : Edisi Merdeka,poster_eps25.jpeg,podtreteps25.mp4,podtreteps25aud.mp3,ngobrolsantai,2022-08-19,2022-08-19 16:22:12
39,Eps 26 : Tak Kenal Maka Tak Sayang,covereps26.jpeg,podtreteps26.mp4,podtreteps26audio.mp3,tkmts,2022-08-26,2022-08-25 08:59:45
40,Eps 27 : Bisa Sulap Bisa Sihir,coverpodtreteps27.jpeg,PODTRETEPS27PesulapMerah.mp4,PODTRETEPS27PesulapMerahaud.mp3,ngobrolsantai,2022-09-02,2022-09-02 09:39:36
41,Eps 28 : Tabungan Bobol Bikin Pala Jadi Benjol,covereps28.jpeg,podtretd_eps28_phising.mp4,podtretd_eps28_phisingaud.mp3,ngobrolsantai,\N,2022-09-09 14:39:43
42,Eps 29: ABM Digangguin Setan,ThumbnailKUMISEps29.png,PODTRETEPS29KUMISCeritaHorrorABMDiCabang.mp4,PODTRETEPS29KUMISCeritaHorrorABMDiCabangaud.mp3,kumis,2022-09-13,2022-09-13 16:56:21
43,Eps 30: Spesial Hut EPM 49 Tahun,covereps30.jpeg,PodtretEps30SpesialHutEPM49Tahun.mp4,PodtretEps30SpesialHutEPM49Tahunaud.mp3,ngobrolsantai,2022-09-22,2022-09-22 16:31:33
44,Eps 31 :  Alzheimer Indonesia part 1,covereps31.jpeg,EPS31ALZHEIMERPART1rev1.mp4,EPS31ALZHEIMERPART1rev1.mp3,sapamantan,2022-09-30,2022-09-30 17:42:03
45,Eps 31 :  Alzheimer Indonesia part 2,ThumbnailPodtretEps31part2300.png,EPS31PART2REV1.mp4,EPS31PART2REV1.mp3,sapamantan,2022-10-07,2022-10-07 16:12:09
46,Eps 32 : Kesurupan Di Saat Lagi Meeting,kumis32.png,PodtretKumisEps32Rev2.mp4,PodtretKumisEps32Rev2.mp3,kumis,2022-10-13,2022-10-13 14:52:48
47,Eps 33 : Bersama Orang Hebat Yayasan Kanker Indonesia,ThumbnailEPS33YKAKI.png,PodtretEps33YKAKIrev3.mp4,PodtretEps33YKAKIrev3.mp3,ngobrolsantai,2022-10-21,2022-10-21 14:20:18
48,Eps 34 : Pentingnya Investasi Otak,covereps34.jpeg,Eps_34-rev1.mp4,Podtreteps34Dirk.mp3,ngobrolsantai,2022-10-28,2022-10-28 14:32:26
49,Eps 35 : Apa yang Terjadi di Itaewon?,Thumbnail_35.png,y2mate.com-PodtretEPS35CROWDrev1_1080p.mp4,y2mate.com-PodtretEPS35CROWDrev1.mp3,ngobrolsantai,2022-11-04,2022-11-04 15:15:28
50,Eps 36 : Makam Keramat,ThumbnailYoutube_1.png,y2mate.com-PodtretEps36KumisMakamKeramat_1080p.mp4,y2mate.com-PodtretEps36KumisMakamKeramat.mp3,kumis,2022-11-12,2022-11-11 16:55:13
51,Eps 37 : Edisi Bapack Bapack,covererps37.jpg,PODTRETEPS37EDISIBAPACKBAPACK.mp4,PODTRETEPS37EDISIBAPACKBAPACK.mp3,ngobrolsantai,2022-11-19,2022-11-18 16:38:45
52,Eps 38 : Edisi Milenial,MILENIALLANDSCAPE.png,PodtretEps38EdisiMilenial.mp4,y2mate.com-PodtretEps38EdisiMilenial.mp3,ngobrolsantai,2022-11-25,2022-11-25 09:46:04
53,Eps 39 : Edisi Ibuck Ibuck,Ibuck-ibuckLandscape.png,PodtretEps39EdisiIbuckibuck.mp4,PodtretEps39EdisiIbuckibuck.mp3,ngobrolsantai,2022-12-02,2022-12-02 11:22:17
54,Eps 40 : Edisi Piala Dunia,PIALADUINA.jpg,PodtretEpisode40PialaDuniarev.mp4,PodtretEps39EdisiPialaDunia.mp3,ngobrolsantai,2022-12-09,2022-12-09 15:09:54
58,Eps 41 : Ritual Minta Darah,THUMBNAILKUMISLANDSCAPE.jpg,kumis_13Des2022.mp4,kumis_13Des2022.mp3,kumis,2022-12-13,2022-12-13 13:55:58
59,Eps 42 : Final Piala Dunia,LANDSCAPE.png,eps42.mp4,eps42.mp3,ngobrolsantai,2022-12-24,2022-12-24 15:54:43
60,Eps 43 : Spesial Natal,landscaperevisi.png,Podtretedisinatal.mp4,y2mate.com-Podtretedisinatal.mp3,ngobrolsantai,2022-12-30,2022-12-30 14:01:43
61,Eps 44 : Kilas Balik 2022,OUTPUTLANDSCAPE.png,y2mate.com-KILASBALIK2022_1080p.mp4,y2mate.com-KILASBALIK2022.mp3,ngobrolsantai,2023-01-06,2023-01-06 09:12:05
62,Eps 45 : Kuntilanak Numpang Mandi,landscapekumisepisode45.png,kumiseps45.mp4,kumiseps45.mp3,kumis,2023-01-13,2023-01-13 14:24:01
63,Ep 46 : RUMPI YUK - Ngejulid Bareng Sekretaris!!,landscaperumpi(1).png,y2mate.com-PODCASTRUMPIFINAL_1080p.mp4,y2mate.com-PODCASTRUMPIFINAL.mp3,ngobrolsantai,2023-01-20,2023-01-19 15:40:17
64,Eps 47 : EXTRAORDINARY SERVICE FOR EXTRAORDINARY CUSTOMER,landscapetkmtsfinal.jpg,PODCASTTKMTSECC.mp4,\N,ngobrolsantai,2023-01-28,2023-01-28 10:42:22
65,Eps 48 : Tenyata Begini Asal Mula Imlek,Thumbnail_PODTRET_Eps48.jpg,PODTRET_Imlek_Eps48.mp4,PODTRET_Imlek_Eps48_Audio.mp3,ngobrolsantai,2023-02-03,2023-02-03 10:53:50
66,Eps 49 : Valentine Unyu-unyu,thumbnail_eps49.png,Eps49PodtretValentine.mp4,Eps49_audio.mp3,ngobrolsantai,2023-02-10,2023-02-10 14:24:22
67,Eps 50 : Setan Vulgar,thumbnailkumis.png,EpisodePodtretKumis50.mp4,audioeps50.mp3,kumis,2023-02-13,2023-02-13 10:02:07
